Date,Price,Open,High,Low,Vol.,Change %
10/01/2003,4130.98,4053.64,4378.77,4053.64,,2.19%
09/01/2003,4042.42,4036.23,4081.73,3844.40,,-4.08%
08/01/2003,4214.54,4199.54,4273.77,4134.18,,4.09%
07/01/2003,4049.07,4031.15,4113.26,3950.28,,0.71%
06/01/2003,4020.44,4104.09,4176.40,3926.79,,0.22%
05/01/2003,4011.64,3665.54,4011.64,3632.09,,9.59%
04/01/2003,3660.66,3817.55,3906.35,3608.76,,-6.14%
03/01/2003,3900.01,4434.80,4552.41,3668.87,,-14.41%
02/01/2003,4556.68,4032.36,4556.68,4032.36,,12.12%
01/01/2003,4064.02,3819.38,4075.06,3744.57,,8.99%
12/01/2002,3728.76,3476.98,3864.67,3421.92,,8.53%
11/01/2002,3435.66,3438.37,3449.06,3229.67,,-0.22%
10/01/2002,3443.14,3639.06,3639.06,3411.22,,-4.72%
09/01/2002,3613.65,3367.59,3629.27,3367.59,,4.57%
08/01/2002,3455.84,3208.95,3485.86,3191.60,,6.05%
07/01/2002,3258.75,3256.99,3319.70,3180.51,,0.58%
06/01/2002,3240.01,3128.46,3240.01,3045.50,,3.42%
05/01/2002,3132.95,3230.24,3389.44,3085.49,,-4.35%
04/01/2002,3275.47,3294.56,3383.12,2989.65,,1.11%
03/01/2002,3239.61,2915.89,3239.61,2915.89,,13.48%
02/01/2002,2854.74,2804.82,2867.57,2744.52,,4.37%
01/01/2002,2735.26,2891.27,2929.87,2695.53,,-3.12%
12/01/2001,2823.35,2889.03,2916.22,2729.80,,-1.33%
11/01/2001,2861.28,2966.45,3059.61,2730.68,,-5.37%
10/01/2001,3023.67,3163.58,3170.49,2997.70,,-5.04%
09/01/2001,3184.24,3549.42,3767.12,3091.33,,-10.96%
08/01/2001,3576.03,3538.92,3640.71,3527.99,,0.96%
07/01/2001,3542.17,3508.60,3645.70,3445.52,,0.24%
06/01/2001,3533.71,3795.96,3890.36,3495.54,,-7.23%
05/01/2001,3809.28,3951.33,3978.64,3809.28,,-2.85%
04/01/2001,3920.97,3688.73,4024.93,3688.73,,5.37%
03/01/2001,3721.13,3887.73,4006.54,3721.13,,-3.92%
02/01/2001,3872.93,4071.40,4205.27,3872.93,,-1.40%
01/01/2001,3927.75,4022.43,4208.57,3927.75,,-5.31%
12/01/2000,4147.90,4129.41,4245.49,3929.40,,-2.06%
11/01/2000,4235.22,3922.45,4338.48,3895.40,,9.22%
10/01/2000,3877.86,3969.73,4266.15,3860.42,,0.23%
09/01/2000,3869.14,3938.15,4161.69,3828.50,,-1.37%
08/01/2000,3922.85,3431.42,3927.23,3431.42,,15.41%
07/01/2000,3399.09,3678.73,3678.73,3399.09,,-7.68%
06/01/2000,3681.85,3483.54,3714.35,3460.31,,7.13%
05/01/2000,3436.91,3126.47,3523.05,3126.47,,11.20%
04/01/2000,3090.82,3087.48,3116.24,2919.58,,-0.91%
03/01/2000,3119.23,3251.42,3387.09,3073.64,,-1.16%
02/01/2000,3155.86,3013.52,3155.86,2976.14,,6.25%
01/01/2000,2970.29,2766.77,3005.56,2689.98,,7.23%
12/01/1999,2770.00,2676.57,2811.95,2676.57,,4.22%
11/01/1999,2657.75,2586.58,2784.27,2575.52,,4.05%
10/01/1999,2554.39,2693.79,2693.79,2475.78,,-5.16%
09/01/1999,2693.28,2552.66,2720.00,2510.73,,5.30%
08/01/1999,2557.63,2419.05,2557.63,2415.36,,7.04%
07/01/1999,2389.45,2296.96,2409.35,2283.19,,3.59%
06/01/1999,2306.70,2136.70,2306.70,2136.70,,6.43%
05/01/1999,2167.31,2302.59,2314.61,2165.51,,-5.46%
04/01/1999,2292.40,2186.30,2292.40,2133.23,,4.13%
03/01/1999,2201.42,1888.23,2206.30,1888.23,,16.89%
02/01/1999,1883.29,1948.96,1955.81,1869.31,,-4.61%
01/01/1999,1974.23,1992.33,2067.35,1928.25,,0.44%
12/01/1998,1965.65,1995.12,2020.06,1902.20,,-1.72%
11/01/1998,2000.07,2274.36,2274.36,2000.07,,-12.17%
10/01/1998,2277.14,2343.00,2367.24,2250.43,,-4.69%
09/01/1998,2389.22,2205.84,2389.22,2197.35,,10.22%
08/01/1998,2167.67,2266.38,2306.79,2167.67,,-5.90%
07/01/1998,2303.62,2496.61,2496.61,2303.62,,-7.86%
06/01/1998,2500.16,2574.14,2574.14,2402.62,,-3.55%
05/01/1998,2592.06,2764.26,2764.26,2561.86,,-4.72%
04/01/1998,2720.40,2775.47,2804.91,2719.70,,-2.73%
03/01/1998,2796.66,2809.94,2864.69,2646.60,,-0.52%
02/01/1998,2811.26,3007.59,3007.59,2782.39,,-6.60%
01/01/1998,3009.87,3019.39,3054.38,2897.29,,-1.61%
12/01/1997,3059.17,3294.24,3294.24,3059.17,,-6.76%
11/01/1997,3280.88,3597.18,3597.18,3280.88,,-9.86%
10/01/1997,3639.73,3537.38,3695.48,3526.51,,2.75%
09/01/1997,3542.28,3487.70,3576.66,3404.93,,2.53%
08/01/1997,3454.89,3409.33,3471.71,3367.90,,2.53%
07/01/1997,3369.67,3244.68,3369.67,3169.98,,4.10%
06/01/1997,3237.05,3391.47,3391.47,3189.24,,-5.41%
05/01/1997,3422.19,3398.76,3511.74,3352.49,,0.72%
04/01/1997,3397.89,3303.10,3397.89,3221.51,,2.31%
03/01/1997,3321.06,3267.61,3382.76,3267.61,,1.69%
02/01/1997,3265.97,3490.65,3516.79,3262.00,,-6.89%
01/01/1997,3507.79,3591.15,3788.29,3507.79,,-1.47%
12/01/1996,3560.13,3525.77,3771.50,3470.55,,0.96%
11/01/1996,3526.12,3237.07,3541.17,3214.59,,8.32%
10/01/1996,3255.23,3249.35,3392.59,3247.27,,-0.25%
09/01/1996,3263.30,3194.55,3277.24,3162.61,,3.55%
08/01/1996,3151.53,3117.91,3235.86,3090.96,,3.22%
07/01/1996,3053.21,3221.77,3302.15,3018.90,,-4.73%
06/01/1996,3204.88,3081.23,3204.88,3030.04,,3.88%
05/01/1996,3085.18,3120.01,3203.61,3085.18,,-0.79%
04/01/1996,3109.74,2977.99,3200.03,2977.99,,5.77%
03/01/1996,2940.00,2730.23,2973.40,2721.95,,6.50%
02/01/1996,2760.56,2629.19,2781.13,2557.38,,4.01%
01/01/1996,2654.16,2711.25,2731.59,2474.60,,-0.16%
12/01/1995,2658.46,2434.88,2700.74,2434.88,,10.23%
