Date,Price,Open,High,Low,Vol.,Change %
02/01/2004,380.75,388.00,395.00,363.75,307.22K,-2.12%
01/01/2004,389.00,377.50,407.00,373.00,469.00K,3.18%
12/01/2003,377.00,397.00,409.00,358.00,198.72K,-4.38%
11/01/2003,394.25,370.50,408.00,361.00,325.76K,6.70%
10/01/2003,369.50,360.25,384.00,321.00,585.48K,2.57%
09/01/2003,360.25,365.25,365.50,337.00,263.33K,-1.97%
08/01/2003,367.50,348.50,387.00,347.00,189.65K,5.45%
07/01/2003,348.50,303.25,355.50,297.00,221.53K,15.49%
06/01/2003,301.75,325.00,339.50,294.50,345.91K,-6.94%
05/01/2003,324.25,278.00,345.75,273.00,244.34K,16.01%
04/01/2003,279.50,286.75,298.00,277.50,125.37K,-2.53%
03/01/2003,286.75,313.75,339.50,277.50,80.60K,-8.24%
02/01/2003,312.50,320.50,338.00,307.50,238.37K,-2.50%
01/01/2003,320.50,325.75,339.00,307.50,296.18K,-1.38%
12/01/2002,325.00,376.00,381.00,321.00,150.01K,-12.87%
11/01/2002,373.00,403.00,417.00,367.75,329.69K,-7.27%
10/01/2002,402.25,397.25,419.00,360.00,446.97K,1.45%
09/01/2002,396.50,368.00,434.00,366.00,281.06K,9.45%
08/01/2002,362.25,335.00,363.50,331.00,149.39K,8.46%
07/01/2002,334.00,304.00,343.00,304.00,109.10K,8.79%
06/01/2002,307.00,282.00,308.00,272.50,360.72K,8.77%
05/01/2002,282.25,262.50,284.00,257.50,185.23K,7.83%
04/01/2002,261.75,285.50,289.00,255.50,206.43K,-8.16%
03/01/2002,285.00,267.25,297.00,263.75,179.88K,6.64%
02/01/2002,267.25,286.75,289.50,266.25,301.97K,-6.56%
01/01/2002,286.00,290.50,313.25,283.50,438.19K,-1.04%
12/01/2001,289.00,283.75,294.50,0.00,135.80K,2.66%
11/01/2001,281.50,291.50,292.75,272.25,312.63K,-4.01%
10/01/2001,293.25,270.75,297.00,261.50,451.10K,8.31%
09/01/2001,270.75,277.00,277.00,0.00,191.65K,-2.61%
08/01/2001,278.00,277.50,288.50,262.00,159.57K,-0.18%
07/01/2001,278.50,256.00,295.00,246.25,132.44K,12.87%
06/01/2001,246.75,266.75,272.00,242.50,366.64K,-7.58%
05/01/2001,267.00,273.50,281.75,255.75,213.08K,-2.11%
04/01/2001,272.75,256.75,273.00,255.50,169.15K,6.96%
03/01/2001,255.00,267.50,285.00,254.00,165.20K,-3.77%
02/01/2001,265.00,273.50,276.00,256.25,280.40K,-2.93%
