Date,Price,Open,High,Low,Vol.,Change %
02/01/2009,50.00,57.25,59.13,49.94,308.38M,-13.33%
01/01/2009,57.69,60.13,61.00,55.09,349.68M,-3.58%
12/01/2008,59.83,57.66,60.25,54.95,315.56M,2.13%
11/01/2008,58.58,61.49,63.01,54.49,376.02M,-4.50%
10/01/2008,61.34,69.07,69.07,52.06,640.48M,-11.46%
09/01/2008,69.28,71.09,72.76,66.90,367.57M,-1.63%
08/01/2008,70.43,68.50,71.90,67.93,224.06M,2.86%
07/01/2008,68.47,63.75,69.25,63.74,308.63M,6.42%
06/01/2008,64.34,66.55,67.10,63.10,228.50M,-3.60%
05/01/2008,66.74,67.13,68.32,64.54,219.96M,-0.52%
04/01/2008,67.09,65.13,67.74,64.51,221.96M,3.42%
03/01/2008,64.87,62.00,65.81,61.17,275.42M,4.70%
02/01/2008,61.96,63.35,64.09,61.36,218.93M,-1.87%
01/01/2008,63.14,66.56,68.85,61.72,340.28M,-5.34%
12/01/2007,66.70,67.62,68.50,66.55,197.24M,-1.54%
11/01/2007,67.74,64.80,68.75,63.73,284.89M,3.94%
10/01/2007,65.17,65.66,66.80,63.55,232.89M,-0.81%
09/01/2007,65.70,61.63,65.75,61.26,220.57M,6.33%
08/01/2007,61.79,60.51,62.98,60.31,331.10M,2.13%
07/01/2007,60.50,61.94,63.88,59.72,290.51M,-1.82%
06/01/2007,61.62,63.35,63.77,60.73,260.17M,-2.61%
05/01/2007,63.27,64.53,64.94,61.65,281.38M,-1.48%
04/01/2007,64.22,60.26,65.45,60.03,249.09M,6.57%
03/01/2007,60.26,62.35,62.93,59.87,318.82M,-4.24%
02/01/2007,62.93,66.80,67.15,62.72,192.53M,-5.79%
01/01/2007,66.80,66.13,68.22,65.90,175.65M,1.18%
12/01/2006,66.02,65.91,67.25,65.29,157.68M,0.17%
11/01/2006,65.91,67.38,69.03,65.22,196.12M,-2.21%
10/01/2006,67.40,65.00,69.41,64.50,189.02M,3.79%
09/01/2006,64.94,64.87,65.04,63.25,128.81M,0.43%
08/01/2006,64.66,62.38,65.13,62.29,150.85M,3.37%
07/01/2006,62.55,60.13,63.00,59.68,134.99M,4.39%
06/01/2006,59.92,60.25,62.00,58.97,199.93M,-0.50%
05/01/2006,60.22,58.71,60.93,58.19,196.61M,2.75%
04/01/2006,58.61,59.49,59.76,57.32,170.75M,-1.03%
03/01/2006,59.22,57.62,61.10,57.45,181.61M,2.72%
02/01/2006,57.65,57.67,59.71,56.65,183.37M,0.19%
01/01/2006,57.54,61.07,63.10,57.45,220.72M,-4.26%
12/01/2005,60.10,61.85,62.06,59.76,189.85M,-2.67%
11/01/2005,61.75,62.48,63.78,60.00,241.61M,-1.39%
10/01/2005,62.62,63.18,64.60,60.53,225.50M,-1.04%
09/01/2005,63.28,63.18,65.33,62.85,139.44M,-0.17%
08/01/2005,63.39,64.25,65.35,61.65,137.94M,-0.89%
07/01/2005,63.96,64.82,65.43,62.67,150.65M,-1.60%
06/01/2005,65.00,67.10,67.61,64.43,162.70M,-3.13%
05/01/2005,67.10,68.68,68.87,66.75,124.81M,-2.23%
04/01/2005,68.63,67.32,69.99,66.65,159.15M,2.19%
03/01/2005,67.16,66.47,68.68,66.12,159.49M,2.38%
02/01/2005,65.60,64.61,66.89,64.52,108.26M,1.39%
01/01/2005,64.70,63.35,64.98,61.20,134.98M,2.02%
12/01/2004,63.42,60.33,64.25,59.60,171.85M,5.14%
11/01/2004,60.32,58.35,61.49,57.81,121.76M,3.32%
10/01/2004,58.38,56.39,58.48,54.81,139.95M,3.64%
09/01/2004,56.33,58.00,58.80,56.09,112.16M,-3.05%
08/01/2004,58.10,55.00,58.10,54.37,107.13M,5.12%
07/01/2004,55.27,55.35,58.14,54.43,141.91M,-0.77%
06/01/2004,55.70,55.23,57.28,54.50,125.39M,-0.02%
05/01/2004,55.71,54.22,56.39,54.02,140.68M,3.11%
04/01/2004,54.03,51.05,54.77,49.90,167.01M,6.53%
03/01/2004,50.72,54.49,54.49,49.25,172.94M,-5.92%
02/01/2004,53.91,53.41,54.90,52.79,127.01M,0.92%
01/01/2004,53.42,51.66,54.04,50.43,172.31M,3.41%
12/01/2003,51.66,50.30,51.74,48.79,185.82M,4.79%
11/01/2003,49.30,50.08,52.89,48.26,165.06M,-2.05%
10/01/2003,50.33,49.71,51.15,48.05,200.63M,1.64%
09/01/2003,49.52,49.78,52.50,49.09,198.15M,-0.12%
08/01/2003,49.58,50.95,52.25,49.00,154.72M,-4.27%
07/01/2003,51.79,51.70,54.24,50.55,180.86M,0.17%
06/01/2003,51.70,54.35,55.57,50.75,218.63M,-4.88%
05/01/2003,54.35,56.36,57.52,52.55,161.80M,-3.57%
04/01/2003,56.36,57.87,59.08,53.95,159.45M,-2.61%
03/01/2003,57.87,53.16,58.68,51.50,160.32M,10.33%
02/01/2003,52.45,53.50,53.95,49.10,139.07M,-2.16%
01/01/2003,53.61,54.25,57.55,51.54,157.14M,-0.19%
12/01/2002,53.71,56.59,57.07,53.00,143.40M,-5.80%
11/01/2002,57.02,58.33,61.25,56.30,134.76M,-2.94%
10/01/2002,58.75,54.95,61.30,54.30,223.37M,8.64%
09/01/2002,54.08,53.88,56.25,51.45,146.97M,-0.42%
08/01/2002,54.31,53.00,56.50,49.75,159.31M,2.47%
07/01/2002,53.00,51.70,54.85,41.40,343.59M,1.42%
06/01/2002,52.26,61.10,61.74,52.00,187.84M,-14.82%
05/01/2002,61.35,63.97,64.63,59.16,162.55M,-3.93%
04/01/2002,63.86,64.20,65.29,61.78,160.08M,-1.68%
03/01/2002,64.95,60.90,65.89,60.60,155.34M,6.65%
02/01/2002,60.90,57.26,60.97,54.70,132.32M,5.89%
01/01/2002,57.51,58.90,60.10,56.60,131.89M,-2.69%
12/01/2001,59.10,57.82,60.18,55.42,169.26M,1.46%
11/01/2001,58.25,57.58,60.97,57.51,140.26M,0.59%
10/01/2001,57.91,55.40,59.66,53.05,181.71M,4.53%
09/01/2001,55.40,55.35,57.16,50.20,176.44M,5.10%
08/01/2001,52.71,54.10,57.60,52.30,163.15M,-2.57%
07/01/2001,54.10,50.10,54.98,50.00,164.17M,8.20%
06/01/2001,50.00,48.48,54.20,48.30,187.64M,3.14%
05/01/2001,48.48,48.30,51.00,47.91,184.64M,0.50%
04/01/2001,48.24,43.75,48.35,42.59,209.76M,10.31%
03/01/2001,43.73,48.90,49.92,40.25,295.35M,-10.13%
02/01/2001,48.66,46.56,49.12,46.56,116.97M,4.51%
01/01/2001,46.56,52.00,52.34,45.19,168.45M,-11.36%
12/01/2000,52.53,49.62,52.97,47.62,139.90M,5.06%
11/01/2000,50.00,46.00,51.50,44.59,138.51M,8.55%
10/01/2000,46.06,47.09,48.75,45.16,142.03M,-1.94%
09/01/2000,46.97,46.25,48.91,45.16,96.54M,2.15%
08/01/2000,45.98,46.25,49.44,45.62,100.35M,-1.18%
07/01/2000,46.53,50.62,50.72,45.12,134.05M,-8.66%
06/01/2000,50.94,44.62,50.99,41.25,149.82M,13.83%
05/01/2000,44.75,41.12,45.00,40.94,120.28M,8.48%
04/01/2000,41.25,35.31,42.22,35.00,170.44M,17.45%
03/01/2000,35.12,36.12,41.12,33.06,279.81M,-2.44%
02/01/2000,36.00,42.72,43.16,35.03,186.52M,-16.34%
01/01/2000,43.03,46.56,48.47,40.25,153.52M,-7.70%
12/01/1999,46.62,51.62,51.72,45.06,142.57M,-10.14%
11/01/1999,51.88,52.62,53.44,50.91,91.71M,-0.95%
10/01/1999,52.38,46.06,53.22,46.06,126.58M,14.02%
09/01/1999,45.94,51.12,51.31,45.00,101.84M,-10.13%
08/01/1999,51.12,45.97,52.94,45.16,103.89M,12.28%
07/01/1999,45.53,48.69,49.75,45.53,85.81M,-7.08%
06/01/1999,49.00,46.22,49.00,44.62,83.93M,5.81%
05/01/1999,46.31,48.72,49.00,43.91,97.10M,-5.01%
04/01/1999,48.75,46.62,51.50,44.44,104.47M,4.28%
03/01/1999,46.75,42.38,47.00,41.84,98.50M,9.51%
02/01/1999,42.69,42.44,44.06,40.81,85.18M,0.31%
01/01/1999,42.56,41.47,43.16,38.50,109.60M,1.48%
12/01/1998,41.94,40.53,42.19,38.09,131.23M,3.25%
11/01/1998,40.62,40.72,44.88,40.31,85.49M,-0.32%
10/01/1998,40.75,38.56,42.34,36.31,123.88M,4.17%
